"Type";"Value";"Units";"Wavelength";"Point";"Date"
"Es_IS";"286.948853";"mW.m-2.nm-1.s";"885";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"298.898407";"mW.m-2.nm-1.s";"865";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"373.154785";"mW.m-2.nm-1.s";"778.75";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"378.776917";"mW.m-2.nm-1.s";"753.75";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"431.249695";"mW.m-2.nm-1.s";"708.75";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"472.447845";"mW.m-2.nm-1.s";"681.25";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"492.744141";"mW.m-2.nm-1.s";"665";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"527.088257";"mW.m-2.nm-1.s";"620";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"590.688843";"mW.m-2.nm-1.s";"560";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
"Es_IS";"612.057556";"mW.m-2.nm-1.s";"510";"MUMMTriOS-Belgica01-17_0_b_oc";"20010618T113500Z"
